city,lon,lat,max_temp,humidity,clouds,wind,country,date
tura,100.25,64.2833,-22.04,98,99,2.12,RU,1676482837
zhangjiakou,114.8794,40.81,-9.95,92,31,1.07,CN,1676482837
dakar,-17.4441,14.6937,24.49,73,5,6.17,SN,1676482709
victoria,55.45,-4.6167,27.59,74,40,6.69,SC,1676482731
port alfred,26.891,-33.5906,20.66,98,100,1.34,ZA,1676482838
castro,-73.7732,-42.4721,19.1,63,75,5.66,CL,1676482734
cabedelo,-34.8339,-6.9811,32.37,70,87,5.08,BR,1676482839
hithadhoo,73.0833,-0.6,27.57,73,6,4.34,MV,1676482701
torbay,-52.7314,47.6666,-0.79,94,100,7.6,CA,1676482839
port elizabeth,25.5701,-33.918,23.39,73,0,3.09,ZA,1676482840
punta arenas,-70.9167,-53.15,9.06,57,40,11.32,CL,1676482835
pevek,170.3133,69.7008,-41.26,99,59,1.33,RU,1676482841
eureka,-124.1637,40.8021,6.43,80,7,0.45,US,1676482796
broken hill,141.4333,-31.95,25.51,33,0,3.07,AU,1676482594
savalou,1.9756,7.9281,33.32,12,37,1.61,BJ,1676482842
san patricio,-104.7,19.2167,27.81,40,17,2.79,MX,1676482842
itamaraca,-34.8256,-7.7478,29.03,66,100,3.94,BR,1676482842
iquique,-70.1431,-20.2208,27.02,72,13,2.87,CL,1676482843
ola,151.2833,59.5833,-16.4,82,100,4.97,RU,1676482843
mazsalaca,25.0547,57.8633,0.89,96,86,1.82,LV,1676482843
ahipara,173.1667,-35.1667,16.68,88,82,3.25,NZ,1676482843
gamba,10.0,-2.65,24.18,86,99,2.34,GA,1676482844
mishkino,63.9175,55.3389,-20.41,100,63,2.02,RU,1676482844
umm lajj,37.2685,25.0213,18.45,53,34,5.7,SA,1676482844
padang,100.3543,-0.9492,25.03,87,100,1.98,ID,1676482845
tingi,35.0333,-11.3,18.81,93,100,2.11,TZ,1676482846
leshukonskoye,45.7622,64.8989,-17.85,100,94,2.1,RU,1676482846
nador,-2.9287,35.174,17.04,72,20,4.63,MA,1676482846
ostrovnoy,39.5131,68.0531,-1.13,93,97,11.13,RU,1676482847
comodoro rivadavia,-67.5,-45.8667,13.92,23,20,5.14,AR,1676482847
sinnamary,-52.95,5.3833,26.51,87,90,4.97,GF,1676482847
el guamo,-74.9761,10.0316,36.05,34,8,2.98,CO,1676482848
vestmanna,-7.1664,62.1564,3.51,87,75,8.23,FO,1676482848
lavrentiya,-171.0,65.5833,-30.65,92,86,2.47,RU,1676482849
saint-philippe,55.7679,-21.3585,25.77,79,33,3.65,RE,1676482849
matara,80.5353,5.9485,22.61,81,31,4.36,LK,1676482555
palmerston,130.9833,-12.486,27.99,89,100,4.63,AU,1676482850
hobyo,48.5268,5.3505,25.47,69,12,8.04,SO,1676482850
clyde river,-68.5914,70.4692,-29.21,95,100,3.19,CA,1676482851
bredasdorp,20.0403,-34.5322,21.1,69,96,5.12,ZA,1676482851
kanniyakumari,77.5667,8.0833,24.4,72,2,5.46,IN,1676482851
kailua,-157.7394,21.4022,19.99,94,53,0.45,US,1676482852
nemuro,145.575,43.3236,-9.26,68,33,8.53,JP,1676482852
bengkulu,102.2655,-3.8004,23.56,93,95,1.88,ID,1676482852
yellowknife,-114.3525,62.456,-30.92,97,42,0.66,CA,1676482852
buraydah,43.975,26.326,14.25,42,94,7.11,SA,1676482732
coquimbo,-71.3436,-29.9533,18.85,77,75,5.14,CL,1676482854
codroipo,12.9792,45.96,12.09,64,0,2.57,IT,1676482854
amethi,81.8167,26.15,15.16,46,0,1.72,IN,1676482854
natal,-35.2094,-5.795,32.36,58,40,6.69,BR,1676482830
klaksvik,-6.589,62.2266,4.51,78,100,7.85,FO,1676482856
afrikanda,32.7828,67.4429,-5.06,98,100,1.85,RU,1676482857
brae,-1.353,60.3964,6.89,83,94,9.59,GB,1676482858
laguna,-48.7808,-28.4825,26.41,69,88,4.9,BR,1676482858
arraial do cabo,-42.0278,-22.9661,31.98,62,40,5.14,BR,1676482858
zhigansk,123.3711,66.7697,-37.73,100,67,2.2,RU,1676482859
sibolga,98.7792,1.7427,24.07,87,70,1.56,ID,1676482859
fortuna,-124.1573,40.5982,4.96,84,0,4.12,US,1676482859
catamarca,-65.7852,-28.4696,33.21,43,10,2.24,AR,1676482860
cayenne,-52.3333,4.9333,30.02,66,40,7.72,GF,1676482860
lagoa,-27.9833,39.05,14.82,69,53,3.08,PT,1676482861
owando,15.8999,-0.4819,25.0,69,98,1.43,CG,1676482861
geraldton,114.6,-28.7667,21.23,78,40,4.12,AU,1676482605
road town,-64.6167,18.4167,28.05,78,40,4.63,VG,1676482805
shingu,135.9833,33.7333,-0.34,75,3,3.11,JP,1676482812
leeton,146.4,-34.5667,22.61,36,61,3.01,AU,1676482863
tadine,167.8833,-21.55,22.5,71,100,3.24,NC,1676482863
san carlos de bariloche,-71.3082,-41.1456,17.86,39,40,10.29,AR,1676482864
tulun,100.5792,54.5611,-14.83,98,100,0.99,RU,1676482864
van,43.3831,38.4924,-6.36,93,75,5.66,TR,1676482864
faanui,-151.75,-16.4833,27.39,77,17,5.6,PF,1676482864
auki,160.7034,-8.7676,25.17,86,73,1.17,SB,1676482865
asyut,31.1837,27.181,15.1,40,62,3.67,EG,1676482866
saskylakh,114.0833,71.9167,-17.28,95,100,2.49,RU,1676482866
hualmay,-77.6139,-11.0964,25.64,74,96,3.74,PE,1676482866
cabo san lucas,-109.9124,22.8909,22.56,63,20,3.09,MX,1676482820
port-gentil,8.7815,-0.7193,27.98,78,20,2.57,GA,1676482868
caravelas,-39.2481,-17.7125,29.83,60,73,5.16,BR,1676482869
port lincoln,135.8667,-34.7333,23.3,51,84,5.32,AU,1676482870
kangaatsiaq,-53.4641,68.3065,-21.56,70,100,6.13,GL,1676482870
witu,40.4382,-2.3889,24.6,86,17,4.84,KE,1676482870
severodvinsk,39.8302,64.5635,-8.94,92,53,3.67,RU,1676482872
tautira,-149.15,-17.7333,26.91,76,16,3.45,PF,1676482872
hirara,125.2833,24.8,17.02,60,100,11.0,JP,1676482873
estelle,-90.1067,29.8458,26.67,73,75,8.05,US,1676482873
alta floresta,-56.0861,-9.8756,31.9,70,40,2.57,BR,1676482874
sao joao da barra,-41.0511,-21.6403,32.05,81,68,5.8,BR,1676482874
marfino,37.3822,55.7028,-3.05,74,100,6.0,RU,1676482875
chokurdakh,147.9167,70.6333,-45.06,100,80,1.09,RU,1676482875
male,73.5089,4.1748,27.97,69,20,6.17,MV,1676482875
chuy,-53.4616,-33.6971,24.74,49,14,5.26,UY,1676482876
rocha,-54.3333,-34.4833,27.06,32,8,6.6,UY,1676482876
camana,-72.7111,-16.6228,26.05,74,79,3.44,PE,1676482877
sorland,12.6934,67.667,5.92,86,100,12.12,NO,1676482878
pontianak,109.3333,-0.0333,24.99,94,40,1.54,ID,1676482878
cidreira,-50.2056,-30.1811,26.84,70,96,4.27,BR,1676482878
upala,-85.0145,10.8979,28.19,66,88,2.79,CR,1676482879
shimoda,138.95,34.6667,1.72,65,96,4.18,JP,1676482857
santa fe,-82.2613,23.1292,28.11,47,0,5.53,CU,1676482880
mandsaur,75.0667,24.0667,21.39,23,0,1.0,IN,1676482880
college,-147.8028,64.8569,-22.01,76,75,2.06,US,1676482880
dudinka,86.1778,69.4058,-16.32,95,100,6.13,RU,1676482881
houma,-90.7195,29.5958,25.0,84,100,4.47,US,1676482881
kariya,136.9833,34.9833,2.99,56,4,4.46,JP,1676482882
iqaluit,-68.5145,63.7506,-20.17,70,91,5.36,CA,1676482812
palmer,-72.3287,42.1584,14.72,46,20,10.29,US,1676482882
victoria falls,25.843,-17.9235,21.06,94,99,1.74,ZW,1676482882
guider,13.9486,9.9342,26.7,16,5,3.53,CM,1676482883
banjar,114.9675,-8.19,24.41,88,100,1.94,ID,1676482884
tuktoyaktuk,-133.0374,69.4541,-32.36,98,14,4.34,CA,1676482884
lompoc,-120.4579,34.6391,12.69,45,0,4.12,US,1676482885
wad rawah,33.1397,15.1603,22.32,15,82,6.36,SD,1676482885
manosque,5.7869,43.8288,8.64,72,84,1.62,FR,1676482885
jiamusi,130.35,46.8333,-20.98,93,42,3.16,CN,1676482750
bogorodskoye,37.8833,56.55,-9.74,97,100,2.35,RU,1676482886
tobane,27.9,-21.95,23.16,77,100,4.5,BW,1676482886
nanga eboko,12.3667,4.6833,26.6,22,56,1.26,CM,1676482888
bambous virieux,57.7575,-20.3428,26.14,73,20,1.54,MU,1676482888
chapais,-74.8492,49.7834,0.41,98,100,5.66,CA,1676482889
tiksi,128.8694,71.6872,-25.59,98,100,3.71,RU,1676482889
vanimo,141.3028,-2.6741,24.49,93,100,2.77,PG,1676482889
cerrito,-57.6667,-27.3167,36.89,34,83,1.26,PY,1676482890
key west,-81.7826,24.5557,26.0,61,0,7.2,US,1676482891
porto walter,-72.7439,-8.2686,29.39,69,100,1.6,BR,1676482891
alihe,123.7167,50.5667,-18.35,99,98,1.0,CN,1676482870
bandarbeyla,50.8122,9.4942,24.84,71,18,5.52,SO,1676482892
hermanus,19.2345,-34.4187,18.22,77,99,5.44,ZA,1676482893
kahului,-156.47,20.8947,21.02,93,40,2.57,US,1676482894
altay,88.1167,47.8667,-11.81,75,15,3.57,CN,1676482867
mandalgovi,106.2708,45.7625,-12.2,64,86,2.92,MN,1676482895
taoudenni,-3.9836,22.6783,26.92,15,100,4.32,ML,1676482896
alekseyevskaya,42.1845,50.2896,-10.11,97,98,2.84,RU,1676482898
zhangye,100.4517,38.9342,-2.99,50,43,2.54,CN,1676482898
la ronge,-105.2842,55.1001,-21.35,87,31,3.12,CA,1676482716
itoman,127.6694,26.1247,16.01,59,82,6.69,JP,1676482899
sergeyevka,67.4158,53.88,-20.18,100,31,2.02,KZ,1676482899
bethel,-73.414,41.3712,16.03,54,0,5.66,US,1676482900
margate,30.3705,-30.8636,25.43,90,87,0.81,ZA,1676482901
markova,104.2054,52.2132,-15.82,85,40,2.0,RU,1676482901
severo-kurilsk,156.125,50.6789,-2.25,63,99,10.31,RU,1676482902
port hardy,-127.4199,50.6996,3.57,81,100,4.02,CA,1676482903
huarmey,-78.1522,-10.0681,25.39,76,99,3.96,PE,1676482903
umarizal,-37.8144,-5.9906,36.57,25,60,2.13,BR,1676482904
neuchatel,6.8333,46.9167,8.21,77,0,0.51,CH,1676482904
new norfolk,147.0587,-42.7826,14.84,70,79,1.19,AU,1676482904
vestmannaeyjar,-20.2734,63.4427,1.55,93,20,3.6,IS,1676482905
karatau,70.4667,43.1667,-1.41,97,100,2.41,KZ,1676482905
dok kham tai,99.9934,19.1624,22.47,60,5,1.97,TH,1676482905
maceio,-35.7353,-9.6658,30.69,66,75,6.69,BR,1676482733
sitka,-135.33,57.0531,3.94,81,100,4.12,US,1676482906
west wendover,-114.0733,40.7391,-2.44,46,0,6.69,US,1676482906
beloha,45.05,-25.1667,26.46,61,55,1.92,MG,1676482907
morondava,44.2833,-20.2833,26.54,77,7,1.73,MG,1676482907
acapulco,-99.8901,16.8634,28.9,65,40,2.06,MX,1676482764
prince albert,-105.7677,53.2001,-16.61,83,85,2.76,CA,1676482908
thompson,-97.8558,55.7435,-22.05,88,99,3.39,CA,1676482908
the valley,-63.0578,18.217,28.92,69,40,5.66,AI,1676482908
berlevag,29.0864,70.8578,3.0,75,0,5.66,NO,1676482909
san martin,-68.4681,-33.081,32.3,18,1,4.91,AR,1676482770
turki,43.2731,51.987,-11.52,96,90,3.73,RU,1676482910
port macquarie,152.9167,-31.4333,14.38,87,9,1.88,AU,1676482908
gazanjyk,55.5154,39.2446,6.78,77,30,4.1,TM,1676482911
constitucion,-104.6749,23.9912,18.41,4,0,5.81,MX,1676482911
carutapera,-46.02,-1.195,26.85,82,95,2.53,BR,1676482911
gua musang,101.9644,4.8823,20.23,96,21,0.77,MY,1676482912
katsuura,140.3,35.1333,2.78,58,41,6.19,JP,1676482913
erdaojiang,126.0319,41.7764,-13.66,94,82,1.02,CN,1676482913
banda aceh,95.3222,5.5577,25.61,82,84,3.97,ID,1676482659
tasiilaq,-37.6368,65.6145,-3.91,82,96,2.61,GL,1676482914
aklavik,-135.0107,68.2191,-32.97,100,23,3.14,CA,1676482914
dunedin,170.5036,-45.8742,14.33,82,56,1.34,NZ,1676482724
aljezur,-8.8033,37.3191,14.56,75,100,2.14,PT,1676482915
dingle,-10.2689,52.1408,8.77,93,100,10.0,IE,1676482915
aleksandrov gay,48.5704,50.147,-10.4,97,93,2.18,RU,1676482915
necochea,-58.7368,-38.5473,26.92,34,37,7.86,AR,1676482916
inuvik,-133.7218,68.3499,-34.45,99,10,1.75,CA,1676482916
kruisfontein,24.7314,-34.0033,22.16,88,100,2.41,ZA,1676482916
diffa,12.6113,13.3154,21.14,19,0,4.63,NE,1676482916
karratha,116.8463,-20.7377,30.48,58,4,5.82,AU,1676482917
honningsvag,25.9704,70.9821,2.86,87,40,9.26,NO,1676482917
kardla,22.7492,58.9978,0.03,87,100,4.13,EE,1676482917
te anau,167.7167,-45.4167,11.42,82,78,1.46,NZ,1676482919
mufumbwe,24.8,-13.6833,18.84,81,97,2.72,ZM,1676482920
halmstad,12.8568,56.6745,4.06,100,75,3.6,SE,1676482707
sangar,127.4739,63.9242,-41.74,100,50,0.94,RU,1676482921
sovetskiy,63.5842,61.3614,-18.96,100,84,1.24,RU,1676482921
sri aman,111.4621,1.2376,23.03,94,100,0.0,MY,1676482922
ridgecrest,-117.6709,35.6225,7.79,24,0,8.23,US,1676482922
gorom-gorom,-0.2361,14.4439,28.4,13,97,5.84,BF,1676482922
manggar,108.2667,-2.8833,25.62,85,100,4.42,ID,1676482923
pecos,-103.4932,31.4229,16.84,14,0,8.23,US,1676482923
labuhan,112.2051,-6.8844,24.88,88,100,4.97,ID,1676482923
carroll,-77.0164,39.5501,17.61,54,0,5.14,US,1676482924
kloulklubed,134.2556,7.0419,27.44,82,100,9.4,PW,1676482924
richmond,30.2724,-29.872,19.73,97,75,0.37,ZA,1676482925
inhambane,35.3833,-23.865,26.26,84,3,4.48,MZ,1676482925
bairiki,172.9752,1.3292,27.0,83,20,4.12,KI,1676482925
odienne,-7.5692,9.51,34.58,10,12,2.83,CI,1676482926
clearwater,-82.8001,27.9659,27.28,59,75,6.17,US,1676482927
lunenburg,-64.3155,44.3835,3.92,72,66,4.87,CA,1676482927
alcaniz,-0.1333,41.05,8.8,65,99,0.99,ES,1676482927
garoua,13.4,9.3,27.55,16,4,2.9,CM,1676482928
chegdomyn,133.0167,51.1167,-28.94,99,91,0.66,RU,1676482928
rio gallegos,-69.2181,-51.6226,11.03,30,100,14.92,AR,1676482928
sioux lookout,-91.917,50.1001,-15.17,80,100,4.8,CA,1676482929
egvekinot,-179.1667,66.3167,-31.49,91,30,3.06,RU,1676482929
ordu,37.6845,40.9086,-5.72,96,100,2.6,TR,1676482930
moindou,165.677,-21.6924,22.96,81,84,1.46,NC,1676482930
vilhena,-60.1458,-12.7406,29.12,70,75,4.63,BR,1676482931
artyom,50.333,40.4723,4.08,68,5,8.48,AZ,1676482931
richards bay,32.0377,-28.783,25.1,92,100,3.0,ZA,1676482932
buala,159.5921,-8.145,26.82,78,83,0.36,SB,1676482932
wilmington,-77.9447,34.2257,24.95,55,40,7.72,US,1676482821
muli,73.5667,2.9167,27.14,68,46,6.86,MV,1676482933
lensk,114.9278,60.7253,-20.49,100,93,1.96,RU,1676482880
rio grande,-52.0986,-32.035,25.06,68,98,5.7,BR,1676482934
leningradskiy,178.4167,69.3833,-36.54,97,85,3.08,RU,1676482935
alice springs,133.8833,-23.7,20.75,46,3,0.0,AU,1676482935
solnechnyy,136.6319,50.7214,-25.01,95,24,1.45,RU,1676482935
carnarvon,113.6333,-24.8667,23.25,69,0,8.59,AU,1676482891
vila franca do campo,-25.4333,37.7167,16.23,67,64,1.73,PT,1676482936
hamilton,-64.778,32.2915,19.02,63,75,4.63,BM,1676482802
muros,-9.0603,42.7762,12.87,76,72,2.96,ES,1676482936
norman wells,-126.8329,65.282,-27.26,96,55,2.21,CA,1676482937
saint-pierre,-56.1695,46.7654,-1.02,100,0,5.14,PM,1676482937
tessalit,1.0114,20.1986,24.24,14,98,5.81,ML,1676482938
portland,141.6,-38.3333,18.44,49,98,2.75,AU,1676482938
york,-1.0827,53.9576,9.92,87,88,2.61,GB,1676482938
linhares,-40.0722,-19.3911,32.8,39,95,2.76,BR,1676482938
moranbah,148.0466,-22.0016,22.81,87,100,4.59,AU,1676482939
port-cartier,-66.8654,50.0334,-1.81,95,100,2.52,CA,1676482939
kyra,111.9753,49.5776,-11.0,72,100,5.54,RU,1676482939
nantucket,-70.0995,41.2835,9.03,80,40,6.17,US,1676482940
rundu,19.7667,-17.9333,25.11,52,93,0.99,NA,1676482808
xuddur,43.8894,4.1213,27.52,23,32,4.71,SO,1676482941
